,Date,Close,Volume,Open,High,Low
0,09-01-2000,277.0,0.0,277.0,277.0,277.0
1,11-01-2000,263.899994,0.0,263.899994,263.899994,263.899994
2,12-01-2000,268.700012,332.0,269.700012,272.0,268.5
3,10-02-2000,273.100006,161.0,272.799988,273.5,272.5
4,11-02-2000,264.399994,0.0,264.399994,264.399994,264.399994
5,10-03-2000,271.600006,25.0,272.100006,272.799988,271.5
6,11-03-2000,264.600006,0.0,264.600006,264.600006,264.600006
8,10-04-2000,270.299988,11.0,270.5,271.0,270.100006
9,12-04-2000,270.700012,137.0,271.0,272.0,270.0
10,09-05-2000,275.799988,2.0,275.799988,275.799988,275.799988
11,10-05-2000,270.600006,6.0,270.299988,270.600006,270.0
12,12-05-2000,270.399994,407.0,270.899994,271.0,269.899994
13,09-06-2000,274.200012,0.0,274.200012,274.200012,274.200012
14,10-06-2000,269.299988,2.0,269.799988,270.200012,269.299988
15,11-06-2000,264.5,0.0,264.5,264.5,264.5
16,12-06-2000,274.299988,81.0,271.0,274.299988,270.600006
17,09-07-2000,274.0,125.0,274.0,274.0,274.0
18,11-07-2000,264.299988,0.0,264.299988,264.299988,264.299988
19,12-07-2000,273.200012,36.0,274.299988,276.0,272.600006
20,09-08-2000,273.299988,0.0,273.299988,273.299988,273.299988
21,11-08-2000,265.0,0.0,265.0,265.0,265.0
22,12-08-2000,272.200012,120.0,272.700012,273.0,272.200012
23,10-09-2000,270.100006,4.0,269.100006,270.100006,269.100006
24,11-09-2000,265.799988,0.0,265.799988,265.799988,265.799988
25,10-10-2000,272.399994,13.0,272.399994,272.399994,272.399994
26,11-10-2000,264.5,0.0,264.5,264.5,264.5
27,09-11-2000,273.100006,0.0,273.100006,273.100006,273.100006
28,10-11-2000,270.5,18.0,272.5,273.5,270.5
29,12-11-2000,270.200012,15.0,270.700012,270.700012,269.200012
30,09-12-2000,272.899994,0.0,272.899994,272.899994,272.899994
31,10-12-2000,276.399994,3.0,274.0,276.399994,274.0
32,12-12-2000,270.299988,62.0,270.299988,270.299988,269.5
